food,cn_name,energy_kcal,protein_g,fat_g,carb_g,fiber_g,sodium_mg,serving_g,serving_desc,source_type,source_id,source_name,note
Peking_Duck,北京烤鸭,217.6,13.92,17.35,1.93,0.0,141.4,3130,整鸭一份(含卷饼配料),D,T/BJCA 001-2018,按配料配方合成｜T/BJCA 001—2018 京菜 传统挂炉烤鸭烹饪技术规范 与 T/BJCA 002—2018 京菜 传统焖炉烤鸭烹饪技术规范 §4.1 逐字互证（可信度 A）,成品总重 3130 g 取原配方区间 2880–3380 g 的中值（= 生白条鸭 2500–3000 g 的中值 2750 + 甜面酱 120 + 葱丝 100 + 黄瓜条 150 + 白砂糖 10）；两个标准都只给生鸭重量，没有烤制失重率、出肉率或可食部占比。2750 g 是生白条鸭毛重、含骨架鸭掌内脏等不可食部，直接按这个重量算营养会高估 2 倍以上，正规做法是拆成可食部与弃去部分别标定。荷叶饼 20 张（约 300–400 g，估算值，标准只写“20 张”）与麦芽糖 50 g未计入：前者无官方克重且不在成品成品总重内，后者烤制中焦化附着于皮、实际入口量很小。形态（片皮/整只/半只/鸭腿）会让“一份”差一个数量级。｜配方：鸭(均值) 2750 g；黄瓜[胡瓜](鲜) 150 g；甜面酱 120 g；大葱 100 g；糖（白砂糖） 10 g
Sweet_and_Sour_Pork,咕咾肉 / 菠萝咕咾肉,150.4,6.88,8.41,11.96,0.0,394.3,805,一份(约805g),D,gd.gov.cn,按配料配方合成｜广东省人民政府门户网站 广东美食 咕噜肉（整理自广东省旅游局材料）（可信度 A−）,色拉油 300 mL 是炸油、不能计入，这里只算实际吸附的约 35 g（估算值）加腌肉用油 15 g，共 50 g；淀粉 53 g = 腌肉 3 g + 水淀粉 50 mL（后者约半量是水，会略高估碳水）。缺少菠萝 150 g、红椒 50 g、番茄酱 45 g 的营养值，已略去并在备注中说明，清水 100 g 也无对应项未计，故配料加总 516 g 比成品总重低约 36%（这几项合计 345 g）。面粉“适量”按裹 200 g 肉需 40 g 干粉估（C）；糖醋汁的挂汁率未知，料汁约 235 g 中有多少挂在肉上、多少留在锅里没有数据。该页与顺德图书馆版逐字一致，属同源、不是两次独立测量。｜配方：猪肉(瘦) 200 g；辣椒(青，尖) 50 g；蛋（鸡蛋，均值) 50 g；小麦粉(标准粉) 40 g；玉米淀粉 53 g；豆油 50 g；酱油(均值) 30 g；醋(均值) 30 g；糖（白砂糖） 10 g；精盐 3 g
Mapo_Tofu,麻婆豆腐,117.4,7.37,6.97,6.75,0.0,547.1,685,家常2–3人份(约685g),D,dachu.co 116194,按配料配方合成｜大厨网 麻婆豆腐 家常版（作者 大炒勺）；中国烹饪协会官网版为 A 级备选（可信度 B）,成品总重 685 g 取原配方区间 620–750 g 的中值（家常 2–3 人份，含汁）；牛肉末 50 g 用瘦牛肉计，青蒜末 30 g 用大葱计。肉汤 300 mL 只按留存的一半 150 g 计入，水淀粉 15 g 为 估算值。缺少豆豉 20 g、鸡粉 2 g、花椒粉 1 g 的营养值，已略去并在备注中说明；香菜末 5 g 按配料规范装饰忽略，焯豆腐的 500 g 清水弃去。本版是北方减辣版（豆瓣酱 30 g），川味版每斤豆腐用 50 g 豆瓣酱、钠会明显上升，建议做成可切换参数。中国烹饪协会版虽为 标准版，但豆腐 650 g 属餐厅份量、含非传统的豆渣饼 50 g，且红油/黄酒/高汤都没有克重。｜配方：豆腐(均值) 400 g；牛肉(后腱) 50 g；豆瓣酱 30 g；酱油(均值) 15 g；黄酒 10 g；大蒜[蒜头](鲜) 20 g；大葱 30 g；豆油 30 g；鸡汤 150 g；玉米淀粉 15 g；精盐 2 g
Yuxiang_Shredded_Pork,鱼香肉丝,181.7,8.24,9.68,15.56,0.0,274.9,545,约2–3人份(约545g),D,ccas.com.cn 204429,按配料配方合成｜中国烹饪协会官网 鱼香肉丝（注册中国烹饪大师 兰明路）（可信度 A）,成品总重 545 g 取原配方区间 520–570 g 的中值（标准配方，约 2–3 人份）；冬笋丝与泡姜米分别用竹笋、生姜计。缺少泡辣椒茸 30 g（鱼香味的核心）与芹菜米 10 g 的营养值，已略去并在备注中说明，故加总 465 g 比成品总重低约 15%。步骤只写“置旺火上下油，烧至六成热”未给油量，40 g 是 估算值（文档 配料规范 另按 30 g 记，两者都属估算）；淀粉 35 g = 调料 20 g + 码肉红苕粉 15 g。糖:醋 = 40:44 ≈ 1:1.1 是经典鱼香比，标准配方没有胡萝卜（胡萝卜是家常加法）；三版糖/肉比差 4 倍，不能混用。｜配方：猪肉(瘦) 200 g；竹笋(鲜) 30 g；木耳(水发)[黑木耳，云耳] 20 g；大葱 15 g；大蒜[蒜头](鲜) 15 g；姜[黄姜](鲜) 10 g；玉米淀粉 35 g；豆油 40 g；糖（白砂糖） 40 g；醋(均值) 44 g；酱油(均值) 15 g；精盐 1 g
Husband_and_Wife_Lung_Slices,夫妻肺片,243.5,14.42,19.49,3.38,0.0,306.1,340,2–3人份(约340g),D,DB51/T 1728-2014,按配料配方合成｜DB51/T 1728—2014 中国川菜经典菜肴制作工艺规范 附录 A.10 配方表 + 表1 序号10（四川省质量技术监督局）（可信度 A）,官方口径里根本没有“肺”（牛杂指牛肚、牛心、牛舌、牛头皮），做营养计算绝不要按“牛肺”取成分表值。主料 100+150 是生重，卤熟后收缩 30–40% 只剩 160–180 g，而成品总重 340 g 正是按熟重口径推算的（熟主料 + 味汁 112.5 + 撒料 50），按本表生重合成会高估主料占比；卤水 2000 g 是卤制介质不计，味汁里的 50 g 卤水、花椒粉 1 g、味精 1 g、芹菜碎 20 g 无对应营养值已略去（标准表1 列了料酒但配方表未给克重，属标准内部不一致，不臆造）。辣椒油 50 g 是热量主导项，三个来源油量差 2 倍以上（32/50/115 g），选哪版显著改变热量估计。全表允许误差 ≤10%。｜配方：牛肉(后腱) 100 g；牛肚 150 g；油（辣椒油) 50 g；花生仁(炒) 20 g；芝麻籽(白) 10 g；酱油(均值) 10 g；精盐 0.5 g
Twice-Cooked_Pork,回锅肉,375.7,10.77,34.48,6.99,0.0,763.5,330,2–3人份(约330g),D,DB51/T 1728-2014,按配料配方合成｜DB51/T 1728—2014 中国川菜经典菜肴制作工艺规范 附录 A.2 配方表 + 表1 序号2（四川省质量技术监督局）（可信度 A）,这里按标准生重计（带皮二刀肉 220 g + 蒜苗 100 g，配料表无蒜苗故用大葱近似），成品总重 330 g 是熟重口径（肉煮熟约 190–200 g、蒜苗炒后 70–80 g、部分油留锅），所以加总 396.5 g 比成品总重高约 20%；煮肉用水未给克重、单列不计，味精 1 g 无对应营养值已略去。甜面酱 10 g 是蓉派“缺一不可”项（渝派用蔗糖代替），标准用带皮二刀肉而家常多用五花肉、脂肪含量不同；豆瓣酱加甜面酱使钠偏高，高血压不宜多吃。｜配方：猪肉(肥瘦)(均值) 220 g；大葱 100 g；豆瓣酱 30 g；甜面酱 10 g；酱油(均值) 3 g；糖（白砂糖） 3 g；豆油 30 g；精盐 0.5 g
Kung_Pao_Chicken,宫保鸡丁,318.5,13.51,23.11,15.07,0.0,326.6,395,2–3人份(约395g),D,DB51/T 1728-2014,按配料配方合成｜DB51/T 1728—2014 中国川菜经典菜肴制作工艺规范 附录 B.3 配方表 + 表2 序号3（四川省质量技术监督局）（可信度 A）,鸡肉 200 g 是仔公鸡腿肉和脯肉的生重，用鸡肉近似；干辣椒 8 g 按配料规范只计 20%（1.6 g），花椒 1.6 g 与味精 1 g 无对应营养值已略去，故加总 453 g 比成品总重高约 15%。食用油 50 g 是标准原文且未注约耗（同标准的麻辣牛肉干写“食用油1000（约耗40）”，可见该标准会写约耗时就会写，未写即视为基本全耗）；若改用含 700 g 滑油的下厨房版，只能计 10–20 g 吸附油，否则热量会高估约 6300 kcal。鲜汤 25 g 是芡汁的一部分、计入成品；标准配方完全没有蔬菜配菜，糖醋比三来源不一致（本标准糖多于醋），标准只要求“略带甜酸”、不锁定比例。全表允许误差 ≤10%。｜配方：鸡(均值) 200 g；花生仁(炒) 50 g；大葱 40 g；大蒜[蒜头](鲜) 20 g；姜[黄姜](鲜) 10 g；玉米淀粉 30 g；鸡汤 25 g；豆油 50 g；糖（白砂糖） 8 g；醋(均值) 6 g；黄酒 6 g；酱油(均值) 5 g；精盐 1.5 g｜另有 干辣椒 未计入（食物成分表中无对应条目）
Saliva_Chicken,口水鸡,268.6,20.68,19.29,3.52,0.0,458.9,475,4人份(约475g，约120g/人份),D,Cookidoo r289638,按配料配方合成｜Cookidoo 美善品官方电子食谱 r289638（官方专辑 亚洲最辣 12 道食谱）（可信度 B）,带皮去骨鸡腿 500 g 用鸡肉近似（鸡皮是本菜脂肪来源之一），煮后约剩 380–400 g，成品总重 475 g 是熟重口径，按生重计的加总 602 g 因此比它高约 27%；煮鸡水 600 g 弃去，辣椒干 2 g、装饰用芫荽 3 g 与白芝麻 2 g 按配料规范忽略。官方营养值 327 kcal/人份、脂肪 28 g（约 3/4 热量来自辣椒油和鸡皮），辣椒油 42 g 是本菜最大不确定项（三来源 42/50/100 g 差约 2 倍），建议另给“撇去红油”情景。口水鸡不在 DB51/T 1728 范围内，是这 16 道川菜里唯一想拿 标准配方而根本没有的一道；与 DB5133/T 49 的“鸡带骨熟 ≥300 g/份”是两个口径，不要混算。｜配方：鸡(均值) 500 g；油（辣椒油) 42 g；酱油(均值) 15 g；大葱 10 g；大蒜[蒜头](鲜) 10 g；姜[黄姜](鲜) 6 g；醋(均值) 5 g；黄酒 5 g；糖（白砂糖） 4 g；芝麻油[香油] 2.5 g；精盐 2.5 g
Soup_Dumplings,小笼汤包 / 灌汤包,227.8,6.86,12.59,22.15,0.0,256.2,900,30个(单个28–30g，一笼8个约232g),D,DB3301/T 0477.5-2024,按配料配方合成｜大厨网 老师傅传授的小笼包（逐项核对）；单只规格经 DB3301/T 0477.5—2024 与 DB4102/T 043—2023 两城标准互证（可信度 B）,成品总重 900 g = 30 个 ×（10 g 面剂 + 20 g 馅），单只规格是 标准版（杭州 9 g 面剂/20 g 肉馅，开封 10–15 g 面剂/20–25 g 肉馅），配方本身是 行业资料级。加总 608 g 比成品总重低约 32%，差额基本全是水：面皮水 135 g、葱姜水 100 mL（这里只计其中的姜 10 g、葱 5 g），以及猪皮冻 250 g 里约 90% 的水——皮冻按文档建议折算成生猪皮 55 g，千万不要把用料表里的生猪皮 750 g 当成实际消耗量。猪绞肉按猪肉（肥瘦）计，标准要求肥瘦三七分；缺少鸡精 3 g、胡椒粉 1 g 的营养值已略去；杭州用猪皮冻、开封用打水馅（几乎不额外增加热量），同一个类名下的图片可能对应两种完全不同的成分结构。｜配方：小麦粉(标准粉) 250 g；猪肉(肥瘦)(均值) 250 g；猪油(炼) 12 g；酱油(均值) 10 g；姜[黄姜](鲜) 10 g；糖（白砂糖） 7 g；芝麻油[香油] 5 g；大葱 5 g；精盐 4 g｜另有 猪皮（皮冻原料） 未计入（食物成分表中无对应条目）
Braised_Pork_Meatballs_in_Brown_Sauce,红烧狮子头 / 四喜丸子,367.7,13.11,33.27,5.13,0.0,424.8,570,6个(单个约95g),D,xiachufang 106029288,按配料配方合成｜下厨房 红烧狮子头（家庭版）（作者 鸢朝以南）（可信度 B）,荸荠按页面步骤明写的净重 100 g 计（用料表写带皮荸荠 180 g，直接用会多算约 10 g 碳水）；猪肉按小贴士要求的肥四瘦六取五花肉，白胡椒粉 1 g 无对应营养值已略去。成品总重 570 g 是生胚 670 g 经最小火炖 2 h 加浸泡整夜、失重 12–18% 后的估算（C 级失重率），按生重计的加总 669 g 因此比它高约 17%。红烧汤底（水 700 g + 生抽 40 + 老抽 40 + 香料）绝大部分不随菜上桌、未计入，若把整锅汤底算进去钠会高估数倍，只应计肉丸吸附的 20–40 g（C）；餐厅版四喜丸子单个 150 g、总肉量 2000 g，与家庭版不是同一道菜，必须锁定一种形态。｜配方：猪肉(肥瘦)(均值) 500 g；荸荠[马蹄，地栗](鲜) 100 g；蛋（鸡蛋，均值) 50 g；酱油(均值) 15 g；精盐 3 g；姜[黄姜](鲜) 1 g
